,geohash8,decision_date,decision_type
503,dhtwz5ef,2023-04-01,repair
504,dhtwz5ef,2023-08-01,repair
505,dhtwz28y,2022-10-01,repair
506,dhty8qrn,2023-07-01,repair
507,dhty8qrn,2023-07-01,repair
508,dhtwzhdf,2023-01-01,repair
509,dhtwz2bp,2022-10-01,repair
510,dhtwz2tj,2022-12-01,repair
511,dhtwz292,2023-06-01,repair
512,dhtwz2e9,2022-11-01,repair
513,dhtwy80g,2023-02-01,repair
514,dhtwz8bp,2022-10-01,repair
515,dhtwz8bp,2022-10-01,repair
516,dhtwz3pf,2023-01-01,repair
517,dhty8r3r,2023-07-01,repair
518,dhtwz2c0,2022-12-01,repair
519,dhtwz2c0,2023-01-01,repair
520,dhtwz2c0,2023-08-01,repair
521,dhtwz3ne,2023-03-01,repair
522,dhtwy80g,2023-02-01,repair
523,dhtwz314,2023-03-01,repair
524,dhtz07sx,2023-04-01,repair
525,dhtwz2sg,2023-01-01,repair
526,dhtwz28y,2023-03-01,repair
527,dhtwz57f,2023-09-01,repair
528,dhtwz57g,2023-01-01,repair
529,dhtwz2tz,2022-11-01,repair
530,dhtwz2tz,2022-11-01,repair
531,dhtwz2tz,2023-06-01,repair
532,dhtwz2tz,2023-09-01,repair
533,dhtwz2y2,2022-11-01,repair
534,dhtwz2y2,2023-01-01,repair
535,dhtwz2y2,2023-04-01,repair
536,dhtwz2y2,2023-05-01,repair
537,dhtwz2vb,2022-12-01,repair
538,dhtwz2b2,2022-11-01,repair
539,dhtz07u3,2023-07-01,repair
540,dhtwz0xc,2022-10-01,repair
541,dhtwz2ty,2023-03-01,repair
542,dhtwwx33,2022-11-01,repair
543,dhtwwx33,2023-01-01,repair
544,dhtwwx33,2023-01-01,repair
545,dhtwwx33,2023-03-01,repair
546,dhtwwx33,2023-09-01,repair
547,dhtwz29j,2023-01-01,repair
548,dhtwz2sv,2022-12-01,repair
549,dhtwz2sv,2023-01-01,repair
550,dhtwz2xn,2023-02-01,repair
551,dhtwz2xn,2023-05-01,repair
552,dhtwz8b5,2022-10-01,repair
553,dhtwz57g,2023-03-01,repair
554,dhtwz314,2022-12-01,repair
555,dhtwz314,2023-04-01,repair
556,dhtwy6pg,2023-05-01,repair
557,dhtwz2yb,2022-12-01,repair
558,dhtwz2yb,2023-01-01,repair
559,dhtwz2zx,2023-01-01,repair
560,dhtwz2yz,2023-03-01,repair
561,dhtwz2yz,2023-04-01,repair
562,dhtwyb9h,2022-12-01,repair
563,dhtwyb9h,2023-07-01,repair
564,dhtwwxc4,2023-02-01,repair
565,dhtwz29w,2023-04-01,repair
566,dhtwz3ng,2023-01-01,repair
567,dhtwwxbv,2023-03-01,repair
568,dhtwz88n,2023-01-01,repair
569,dhtwz2y6,2023-01-01,repair
570,dhtwz2ub,2022-11-01,repair
571,dhtwz2ub,2023-05-01,repair
572,dhtwzmzu,2023-06-01,repair
573,dhtwzmzu,2023-08-01,repair
574,dhtwz5zy,2023-06-01,repair
575,dhtwz2zg,2023-01-01,repair
576,dhtwz2zg,2023-04-01,repair
577,dhtwz2zg,2023-07-01,repair
578,dhtwz29t,2022-11-01,repair
579,dhtwz29t,2023-03-01,repair
580,dhtwz2yf,2022-12-01,repair
581,dhtwz2yf,2022-12-01,repair
582,dhtwz2yf,2023-03-01,repair
583,dhtwz2wz,2023-07-01,repair
584,dhtwz2wz,2023-07-01,repair
