Occupancy,DamageLevel,DamageType,FloodDepth,assessment_level,water_location,Latitude,Longitude,BldgValue,EstLoss,owner_renter,insurance_yesno
single_family,Affected,Non-Flood,,Affected,,26.723103269000035,-81.71229385673527,154772.0,23215.8,unknown,Unknown
single_family,Minor,Flood,8.0,Minor,living_area,26.723700035000036,-81.71080797810005,58867.0,14716.75,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.544713236000064,-81.57555369637899,138437.0,34609.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.543840875000058,-81.57406837722692,76726.0,11508.9,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.71548672600005,-81.62296635434603,549234.0,82385.09999999999,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.544691184000044,-81.57578412791568,136337.0,20450.55,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.723503307000044,-81.7108335095223,38104.0,9526.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.723765252000078,-81.71123435790801,288589.0,72147.25,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.723852970000053,-81.82324656382639,167240.0,41810.0,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.724157994000052,-81.82402259077257,199789.0,29968.35,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.640870735000078,-81.65258686138202,267225.0,40083.75,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.626788696000062,-81.76155952677324,176795.0,26519.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.724503147000064,-81.8243178659584,158639.0,23795.85,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.704112226000063,-81.75581792,64872.0,16218.0,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.754155378000064,-81.85700694996069,34249.0,8562.25,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.646706318000042,-81.56650287223655,232453.0,34867.95,owner,Yes
single_family,Affected,Non-Flood,,Affected,,26.63943712100007,-81.66940849892394,294997.0,44249.549999999996,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.710110410000027,-81.62048256388523,78121.0,11718.15,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.682571094000025,-81.6594004059719,175146.0,26271.899999999998,owner,Yes
single_family,Minor,Non-Flood,,Minor,,26.70392257700007,-81.75589472811829,78866.0,19716.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.54886004900004,-81.67346661774002,85852.0,12877.8,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.64012203200008,-81.66642604051032,145750.0,21862.5,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.543556222000063,-81.57583340802258,180174.0,27026.1,unknown,Unknown
single_family,Affected,Flood,10.0,Affected,living_area,26.72303462900004,-81.7112352909869,89313.0,13396.949999999999,unknown,Unknown
single_family,Major,Non-Flood,,Major,,26.68272702300004,-81.59511402323615,61760.0,30880.0,owner,Unknown
single_family,Affected,Non-Flood,,Affected,,26.62610044300004,-81.76093270961314,,,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.72447808100003,-81.82618570980212,235853.0,58963.25,unknown,Unknown
single_family,Minor,Non-Flood,,Minor,,26.70543140700005,-81.75600969432266,105881.0,26470.25,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.630732774000023,-81.64895852178654,50169.0,7525.349999999999,unknown,Unknown
single_family,Affected,Non-Flood,,Affected,,26.599546368000063,-81.6037865843877,234364.0,35154.6,unknown,Unknown
