OBJECTID,Project Name,Status,Area,Type,Record Number,GlobalID,Description 1,Description 2,Construction Value ($)
457,The Pickleball Club - Fort Myers,Development Order,San Carlos,Commercial,DOS2022-00138,0bb7e874-db78-440c-ac92-1d198ae64542,"The client is proposing to construct an indoor pickle ball club with 2 outdoor pickle ball courts, 2 outdoor bocce courts, 12 indoor pickle balls courts, and related site improvements.",,
458,Avalon Village F.K.A. Retland Homestead 40,Development Order,Lehigh Acres,Residential,DOS2023-00044,9b2c2d6b-089c-4701-adcb-cd5a3af1a746,Approved for a 146-lot platted subdivision and the single-phase construction of infrastructure to support 146 single-family detached dwelling units [Lots 1 to 146] on a 40.5-acre site with direct access to Homestead Road.,,
459,Bayshore Village,Planning/Zoning,Bayshore,Commercial,DCI2022-00032,853f8142-aede-4cb4-a360-2860d09fb99d,"Commercial Planned Development amendment to allow 150,000 square feet of commercial uses.",,
460,Solis Grande,Permitting,Southeast Lee County,Residential,DOS2022-00190,e1abb29e-1be5-4ee8-b37b-637bc2dafcfe,"Approved to revise the site plan to increase unit count from 100 to 118 dwelling units using the available bonus density approved under resolution Z-23-002.  Approved for a 100-unit platted subdivision and the single-phase construction of infrastructure to support a maximum 100 single-family attached dwelling units (townhomes) in 15 buildings [Buildings 1, 4, 6, 8, 9, 11, 12, 15: 6 units/building; Buildings 2, 5, 7, 10, 13, 14: 8 units/building; Building 3: 4 units/building] on a 11.23-acre site with direct access to Bonita Beach Road and Snell Lane.",COM2023-03308,
461,Bayshore 31 RPD,Planning/Zoning,North Fort Myers,Residential,DCI2022-00037,be4e1689-3335-4419-9a48-e3461fc2fb48,Rezoning to allow 100 single-family dwelling units and associated infrastructure.,,
462,Lehigh Acres Park Expansion ,Complete,Lehigh Acres,Other,DOS2021-00108,fbde7af4-a027-4e0b-81c7-7d5653f51dc7,"Approved for the single phase construction of infrastructure to support the expansion of the existing Lehigh Acres Park (ITE LUC 488 Soccer Complex) on a 41.6-acre site with direct access to Village Lakes Blvd, related site grading, and other improvements including constructing/installing with the required permits:  Three (3) football fields with lighting, press box, shade covered bleachers, restroom/locker room/concession bldg, two (2) -16’x16’ shade structure pavilions, observation pier, covered playground, nature trails with exercise equipment, disc golf course, four (4) pickle ball courts, a lake, and a paved uncovered parking lot.",,
463,Stringfellow MFR,Development Order,Pine Island,Residential,DOS2022-00112,8e2d5528-5535-4f17-a399-fea4c5d49704,Develop sixteen (16) two-family attached residences for a total of (32) units and all related infrastructure.,,
464,Dunkin' Donuts at SR 80,Complete,Fort Myers Shores,Commercial,DOS2022-00116,28f79b58-d21c-462b-9c3f-3538331a823c,"This project consists of the construction of an approximately 1,000-sf fast food restaurant (Dunkin’ Donuts) and all the associated infrastructure (parking/utility connections/lighting/landscaping).",,
466,Rice Insulation & Glass,Complete,Gateway/Airport,Industrial,COM2021-00505,e6a1e8cf-99f0-4ce1-84ea-feb484388b25,"Approved for a platted seven (7) lot subdivision and the four-phase construction of infrastructure to support the construction of (2) two –single story general warehouse buildings as follows: Lot #2: 36,507 sf warehouse, 9,300 sf office for 45,807 GSF and Lot #3: 35,333 sf warehouse, 3,438 sf office for 35,333 GSF for use as ITE Land Use Description 110 (General light Industrial) on a 20.01-acre site with indirect access to Alico Road via Three Oaks Parkway and Oriole Road, related site grading, and other improvements including constructing/installing with the required permits.",Lot 3: Rice Insulation & Glass,
467,Palms Classical Academy,Development Order,South Fort Myers,Other,DOS2022-00121,dd67f094-17a8-47cc-b846-ad8d4f3cd359,"Proposed 72,130 SF, two-story K-12 school. Improvements will be made to Summerlin Center Dr & Elderberry Ln to connect to site. Security fencing will be provided and perimeter retaining wall to help tie in the raised site. School amenities will include basketball court, tot lot & soccer field. ",,
468,Estero Classical Academy,Development Order,Southeast Lee County,Other,DOS2022-00128,30760485-df55-411a-9da4-8b5df5b06c2b,"Approved for one-phase construction of infrastructure to support one maximum 72,130-SF two-story building for a private school grade range K-12 [institutional] use on an approximate 10.34-acre site with direct access to Corkscrew Rd.",,
469,TCW Jonathans Bay,Development Order,San Carlos,Commercial,DOS2022-00127,a51cb510-7a1f-4737-a8d0-1dbf657b7982,"This project includes the construction of an approximately 4,500 SF conveyor tunnel car wash with associated parking, vacuum stations, and underground storm/utility infrastructure.",,
470,Self Storage Tamiami,Development Order,San Carlos,Commercial,DOS2022-00129,aa74423b-df88-4fa7-a3b0-42c7de653139,"Site work for new development of self storage facility with an office (1,200 SF), a climate controlled single story self storage building (79,950 SF), and non-climate controlled single story self storage building (12,600 SF).",,
471,Magnolia Landing Parcels B and D,Complete,North Fort Myers,Residential,DOS2020-00025,a8bc54a6-9cf9-4de6-8c77-674493a8103e,"Approved for a 98 lot platted subdivision and the 3 phase construction of infrastructure to support 98 two family attached dwelling units (Lots 1-98) [ITE Land Use Description 210] on a 101.27-acre site with indirect] access to N Tamiami Trail via Magnolia Landing Lane, related site grading, and other improvements including constructing/installing with the required permits.",,
472,Magnolia Landing Parcels F & G,Complete,North Fort Myers,Residential,DOS2020-00029,fac1ba82-733e-4a2a-b020-d395b199fb78,"Approved for a 182 lot platted subdivision and the 2 phase construction of infrastructure to support 128 single-family detached dwelling units [Lots 55 to 182] and 54 two-family attached dwelling units (Lots 1-54) [ITE Land Use Description 210] on a 103.5-acre site with indirect] access to N Tamiami Trail via Avenida Del Vera and Magnolia Landing Lane, related site grading, and other improvements including constructing/installing with the required permits.",,
473,Magnolia Landing Parcels H & I,Complete,North Fort Myers,Residential,DOS2020-00024,73767263-ad2a-4d44-b800-a2389530294f,"Approved for a platted subdivision and the three-phase construction of infrastructure to support 37 single-family detached dwelling units (ITE Land Use Description 210) Lots 1-37 plus a road Right of Way and lake tract on a 18.36-acre site with direct access to Avenida Del Vera, related site grading, and other improvements including constructing/installing with the required permits.",,
474,"Magnolia Landing Parcels L, N & O",Complete,North Fort Myers,Residential,DOS2020-00028,5def688c-70d2-46da-82cf-3083aa70e05d,"Approved for a 208 lot platted subdivision and the 3 phase construction of infrastructure to support 208 single-family detached dwelling units (Lots 1-208) [ITE Land Use Description 210] on a 67.32-acre site with indirect] access to N Tamiami Trail via Avenida Del Vera and Magnolia Landing Lane, related site grading, and other improvements including constructing/installing with the required permits.",,
475,TCW Exchange Lane,Permitting,South Fort Myers,Commercial,DOS2021-00102,76a75596-2d7e-4605-b9ad-08b720282b78,"Approved for the single-phase construction of infrastructure to support a maximum 4,553-SF single-story commercial building for a single-tunnel automated car wash use on a 1.91-acre site with direct access to Molly Lane, related site grading, and other improvements.",,
476,Modern Services CPD,Planning/Zoning,Fort Myers Shores,Commercial,DCI2024-00016,9c5f83da-8311-4339-bdd2-57aed8d10a9b,"Rezone 1.3 acres from AG-2 to CPD to allow for 16,000 SF of Business Services Group I (Contractors Office) and accessory warehousing.",,
477,Burnt Store Mixed-Use Development,Planning/Zoning,Cape Coral,Mixed Use,DCI2022-00039,08b8c468-6490-4fff-8206-79855757c489,"Requesting to rezone the subject parcel from AG-2 to MXPD to permit the development of a 354-unit multi-family development and a maximum of 222,900 square feet of commercial uses on 35.49 acres.",,
478,Ortiz Minor RPD,Planning/Zoning,Fort Myers,Residential,DCI2022-00040,97a8620d-a4ec-4867-af85-714639e71bc0,"Rezone 9.57± acres from Residential Planned Development (RPD) and Commercial Planned Development (CPD) to a minor RPD to replace 5,400 square feet of commercial and 60 townhomes or multi-family dwelling units with a maximum of 144 townhomes or multi-family dwelling units (including a maximum 48 bonus density units) with a maximum height of 45 feet.",,
481,Heritage Isles,Permitting,Iona/McGregor,Residential,DOS2022-00134,b5f479ac-fd67-47ec-818d-4d8f7b554da1,"Approved for the single-phase construction of infrastructure to support 336 low-rise multi-family dwelling units in 14 three-story buildings [Buildings 1 through 14: 24 units/building] and 104 single-family attached dwelling units in 18 two-story buildings   [Buildings 24 and 28: 4 units/building and Buildings 25, 26 & 27: 6 units/building] on a 44.32-acre site with direct access to Pine Ridge Road.",,
482,Alico Commerce Park Lot 22,Permitting,San Carlos,Industrial,DOS2022-00135,3e271d83-3b00-41fe-b991-45302636c3b8,"Proposed construction of a single story industrial building with associated landscaping, Parking, drainage, and infrastructure.",,
483,San Carlos Hotel,Development Order,Iona/McGregor,Commercial,DOS2022-00136,e13ca3c6-7e9f-4421-92d9-f80855eb6328,"Approved for the one-phase construction of infrastructure to support one maximum 43 rentable unit, 31,863-SF three-story commercial building for a hotel  use  on an approximate 1.51-acre site with direct access to San Carlos Blvd,",,
